contract,prior_settle
2020-12, 3668.50
2021-03, 3636.00
2021-06, 3650.40
2021-09, 3634.80
2021-12, 3622.30
2022-03, 3608.40
2022-06, 3596.50
2022-09, 3584.60
2022-12, 3572.70
2023-03, 3525.10
2024-06, 3476.70
