date,call,strike,put
2020-12-11, 95.50,363000.0,64.70
2020-12-11, 92.10,363500.0,66.30
2020-12-11, 88.80,364000.0,68.00
2020-12-11, 85.60,364500.0,69.80
2020-12-11, 82.30,365000.0,71.50
2020-12-11, 79.20,365500.0,73.40
2020-12-11, 76.10,366000.0,75.30
2020-12-11, 73.00,366500.0,77.20
2020-12-11, 70.00,367000.0,79.20
2020-12-11, 67.10,367500.0,81.30
